url,text
https://www.youtube.com/watch?v=KOG46EHXKkw,Hello
https://www.tiktok.com/@doctor_waffle/video/7463285211653049630,There's an axolotol \<br>on the pink stairs
https://www.youtube.com/watch?v=ax27VgI-lVE,Back at it again
https://www.youtube.com/watch?v=Mh4f9AYRCZY,BBC News Interview
https://www.youtube.com/watch?v=VssO5bKFJU0,Coffee Jerks
https://www.youtube.com/watch?v=BME0639IP5g,Diabetes
https://www.youtube.com/watch?v=OQSNhk5ICTI,Double Rainbow
https://www.youtube.com/watch?v=sjco86ekIlQ,February
https://www.youtube.com/watch?v=q8FeH2DJvG8,Here go some honey
https://www.youtube.com/watch?v=bC6nM2PWwzs,NO-DIG BILL
https://www.youtube.com/watch?v=g0WmiI2QUw0,Eggdog Boba
https://www.youtube.com/watch?v=Uvkqr-S-1Ac,David Lynch's Ice \<br>Bucket Challenge
https://www.youtube.com/watch?v=Dn75eLqhs1s,Bob's Last Name
https://www.youtube.com/watch?v=t9TfgMM7Xto,Gene is Bob
https://www.youtube.com/watch?v=2BkdCC7_JZM,He's so sick of Tony
https://www.youtube.com/watch?v=gASV_lYCwlo,EEEAAAOOO \<br>(10 hours)
https://www.youtube.com/watch?v=doZzrsDJo-4,222-0
https://www.youtube.com/watch?v=_f6owc3O_gY,Koo Dae-Sung
https://www.youtube.com/watch?v=FwWR-SGIsBU,Nardwuar & ?uestlove
https://www.youtube.com/watch?v=TJYOkZz6Dck,Staplerfahrer Klaus
https://vimeo.com/179779722,Scavengers
https://www.youtube.com/watch?v=8LX4ZU6tGxQ,You'd better \<br>believe it buddy!
https://www.youtube.com/watch?v=N6hVmn9FM7o,Farewell.
