url,text
https://this-page-intentionally-left-blank.org,This Page \<br>Intentionally Left Blank
https://deathgenerator.com,The Death Generator
https://frinkiac.com,The Frinkiac
https://www.poetryfoundation.org/poetrymagazine/poems/44212/the-love-song-of-j-alfred-prufrock,The Love Song \<br>of J. Alfred Prufrock
https://procatinator.com,procatinator.com
https://elonmusk.today,elonmusk.today
https://www.zombo.com,zombo.com
https://www.lostfrog.org,lostfrog.org
https://www.wolproject.com,The Walk Of Life Project
https://endless.horse,endless.horse
https://butt.holdings,butt.holdings
